architecture,target,temporal_bin,calibration_method,metric,unweighted_mean,weighted_mean,difference
densenet121,Pleural Effusion,T1_2015,offset,log_loss,0.12457098755331338,0.13758852173524203,0.01301753418192865
densenet121,Pleural Effusion,T1_2015,offset,ece_equal_mass,0.014429486018743406,0.015204395495306344,0.0007749094765629374
densenet121,Pleural Effusion,T1_2015,offset,auroc,0.9357961638860515,0.9132547383951879,-0.022541425490863576
densenet121,Pleural Effusion,T2_2016,offset,brier_score,0.03597268604764352,0.03895960669604027,0.00298692064839675
densenet121,Pleural Effusion,T2_2016,offset,log_loss,0.13211559893827227,0.14178141852762924,0.009665819589356972
densenet121,Pleural Effusion,T2_2016,offset,ece_equal_mass,0.013764883743188891,0.018544960179579146,0.004780076436390255
densenet121,Pleural Effusion,T2_2016,offset,auroc,0.892972144371784,0.8758276243011996,-0.017144520070584313
densenet121,Pleural Effusion,T3_2017,offset,brier_score,0.028917323976009657,0.032211262193190794,0.0032939382171811374
densenet121,Pleural Effusion,T3_2017,offset,log_loss,0.11345398730029774,0.12473374404996208,0.011279756749664346
densenet121,Pleural Effusion,T3_2017,offset,ece_equal_mass,0.01800668862602753,0.02094841432946928,0.002941725703441752
densenet121,Pleural Effusion,T3_2017,offset,auroc,0.8762835589361224,0.8472708734706133,-0.02901268546550917
densenet121,Pleural Effusion,T1_2015,platt,brier_score,0.03430095256980181,0.038347379105126214,0.004046426535324402
densenet121,Pleural Effusion,T1_2015,platt,log_loss,0.12152415146344141,0.13616357755790584,0.014639426094464433
densenet121,Pleural Effusion,T1_2015,platt,ece_equal_mass,0.0065745214708454874,0.012158760205041651,0.005584238734196164
densenet121,Pleural Effusion,T1_2015,platt,auroc,0.9346824991487912,0.9122715923277721,-0.022410906821019094
densenet121,Pleural Effusion,T2_2016,platt,brier_score,0.03712655553640654,0.037625170566227155,0.0004986150298206121
densenet121,Pleural Effusion,T2_2016,platt,log_loss,0.1331869930629977,0.1384147150825238,0.005227722019526093
densenet121,Pleural Effusion,T2_2016,platt,ece_equal_mass,0.015462155192261158,0.015068361635998846,-0.0003937935562623122
densenet121,Pleural Effusion,T2_2016,platt,auroc,0.892972144371784,0.8758276243011996,-0.017144520070584313
densenet121,Pleural Effusion,T3_2017,platt,brier_score,0.02984098920874456,0.030892471919061765,0.0010514827103172038
densenet121,Pleural Effusion,T3_2017,platt,log_loss,0.11433970675080785,0.12140424611591058,0.007064539365102734
densenet121,Pleural Effusion,T3_2017,platt,ece_equal_mass,0.01866085398156688,0.018700958487962098,4.0104506395216566e-05
densenet121,Pleural Effusion,T3_2017,platt,auroc,0.8762835589361224,0.8472708734706133,-0.02901268546550917
densenet121,Pneumonia,T1_2015,raw,brier_score,0.023489454669555265,0.12521004721372017,0.1017205925441649
densenet121,Pneumonia,T1_2015,raw,log_loss,0.09905482150420766,0.405344128783213,0.3062893072790054
densenet121,Pneumonia,T1_2015,raw,ece_equal_mass,0.014726949398378706,0.23202023879811787,0.21729328939973916
densenet121,Pneumonia,T1_2015,raw,auroc,0.8499015855658829,0.822874521596501,-0.027027063969381926
densenet121,Pneumonia,T2_2016,raw,brier_score,0.018201839238448807,0.12445776294317173,0.10625592370472292
densenet121,Pneumonia,T2_2016,raw,log_loss,0.0771820643251529,0.40138917630604,0.3242071119808871
densenet121,Pneumonia,T2_2016,raw,ece_equal_mass,0.008649074484314203,0.23696307285796692,0.2283139983736527
