architecture,loss_type,seed,target,temporal_bin,calibration_method,comparison,brier_raw,brier_calibrated,delta_brier,brier_diff_ci_lower,brier_diff_ci_upper,log_loss_raw,log_loss_calibrated,delta_log_loss,log_loss_diff_ci_lower,log_loss_diff_ci_upper
densenet121,weighted_bce,ensemble,Pleural Effusion,T1_2015,analytic_weight,analytic_weight_vs_raw,0.09204396362495829,0.035931253886652297,-0.05611270973830599,-0.06806642059421274,-0.04417906426175765,0.31887402050643904,0.12681023644247405,-0.192063784063965,-0.22578345075607978,-0.15919248739308903
densenet121,weighted_bce,ensemble,Pleural Effusion,T2_2016,temperature,temperature_vs_raw,0.1110711685383671,0.11003450665761037,-0.0010366618807567257,-0.0012590437060916969,-0.0008242701608724509,0.36713358155446196,0.36438808462207717,-0.0027454969323847944,-0.003431063579797198,-0.002084531932212335
densenet121,weighted_bce,ensemble,Pleural Effusion,T2_2016,offset,offset_vs_raw,0.1110711685383671,0.03518117054059009,-0.07588999799777701,-0.0855457273163046,-0.06654539119089654,0.36713358155446196,0.1293335317784309,-0.23780004977603106,-0.2635990779758059,-0.21244211938412547
densenet121,weighted_bce,ensemble,Pleural Effusion,T2_2016,platt,platt_vs_raw,0.1110711685383671,0.03445178670519738,-0.07661938183316971,-0.08673724689402894,-0.0669352621982322,0.36713358155446196,0.12893195738862628,-0.23820162416583568,-0.26454211978094966,-0.2125688935044083
densenet121,weighted_bce,ensemble,Pleural Effusion,T2_2016,analytic_weight,analytic_weight_vs_raw,0.1110711685383671,0.034845537958434376,-0.07622563057993273,-0.0864795273991393,-0.06637246469817804,0.36713358155446196,0.12872007657014398,-0.238413504984318,-0.26604512369090294,-0.21113235746903375
densenet121,weighted_bce,ensemble,Pleural Effusion,T3_2017,temperature,temperature_vs_raw,0.10787237001541318,0.1067386255932643,-0.0011337444221488774,-0.0013909816800649413,-0.000869545111044708,0.35715873363970013,0.3539749233093686,-0.003183810330331549,-0.003950501561107116,-0.0024018769426318604
densenet121,weighted_bce,ensemble,Pleural Effusion,T3_2017,offset,offset_vs_raw,0.10787237001541318,0.028858674196625918,-0.07901369581878726,-0.08852370319415799,-0.06958420413365482,0.35715873363970013,0.1148051412112638,-0.24235359242843635,-0.26793508646077424,-0.21632357070338126
densenet121,weighted_bce,ensemble,Pleural Effusion,T3_2017,platt,platt_vs_raw,0.10787237001541318,0.02811589343379199,-0.07975647658162119,-0.08940396089159823,-0.07019651070717933,0.35715873363970013,0.11360732745168006,-0.24355140618802007,-0.26870323439342264,-0.217961597605792
densenet121,weighted_bce,ensemble,Pleural Effusion,T3_2017,analytic_weight,analytic_weight_vs_raw,0.10787237001541318,0.028410847524386853,-0.07946152249102632,-0.0893340042168365,-0.06967262295881549,0.35715873363970013,0.11339571658588365,-0.24376301705381648,-0.2707997517471085,-0.2157892422746798
densenet121,weighted_bce,ensemble,Pneumonia,T1_2015,temperature,temperature_vs_raw,0.11213256071791942,0.10687740314165478,-0.0052551575762646435,-0.006315044980604764,-0.004221622353623604,0.37394497849178626,0.3615829236436925,-0.012362054848093773,-0.015056866471629047,-0.009759864512161699
